text,label
Totally disappointed.,-0.95
Just another Monday.,0.11
It’s okay I guess.,0.07
Feeling fantastic!,0.83
Nothing to report.,0.04
It was a bad day.,-0.79
This is amazing.,0.86
Everything went perfectly.,0.88
Such a beautiful moment.,0.73
What a disaster.,-0.76
It was a wonderful experience.,0.94
It's an ordinary day.,0.15
I hate when this happens.,-0.88
Absolutely awful.,-0.93
Nothing special happened.,-0.15
Average experience.,0.03
Totally satisfied.,0.85
I'm so tired of this.,-0.84
I am not sure how I feel.,-0.14
Absolutely love it!,0.74
I had a great day!,0.81
I went to the store.,0.08
Today was horrible.,-0.99
Really frustrating.,-1.0
I had lunch.,0.06
This is the worst.,-0.95
I feel terrible.,-0.95
I'm so happy today.,0.9
Brilliant and fun!,0.73
It was fine.,-0.07
