text,label
There was nothing new.,0.04
Completely horrible.,-0.82
Such a frustrating.,-0.86
There was lunch.,-0.07
Life is lovely.,0.76
There was lunch.,-0.06
I saw a walk.,0.12
I saw a normal day.,0.17
This is disappointing.,-0.77
Today is horrible.,-0.92
It's just a walk.,-0.17
This is disappointing.,-0.94
Life is amazing.,0.99
I went to a walk.,0.06
I went to a walk.,-0.05
It's just lunch.,-0.03
Today is joyful.,0.87
I feel frustrating.,-0.91
Life is wonderful.,0.81
What a disappointing.,-0.92
It is a walk.,-0.06
I had a normal day.,-0.12
I saw a walk.,-0.05
I saw lunch.,-0.12
It is a normal day.,0.14
What a frustrating.,-0.81
Completely frustrating.,-0.73
Such a awful.,-0.79
I went to the store.,0.04
Life is wonderful.,0.88
Today is joyful.,0.89
I feel frustrating.,-0.76
I feel amazing.,0.96
Today is frustrating.,-0.81
Such a bad.,-0.83
I saw lunch.,-0.07
What a bad.,-0.94
Everything is fantastic.,0.71
There was a walk.,0.11
I feel awful.,-0.93
I had a normal day.,-0.2
Such a horrible.,-0.72
Life is fantastic.,0.84
This is disappointing.,-0.83
I saw a walk.,0.16
Everything is lovely.,0.88
It's just nothing new.,0.11
There was a normal day.,0.06
It's just an average day.,0.07
I saw the store.,0.18
Everything is joyful.,0.94
What a terrible.,-0.99
I went to lunch.,0.15
I feel frustrating.,-0.77
What a fantastic.,0.85
I feel frustrating.,-0.7
I feel amazing.,0.95
There was lunch.,0.07
I had a normal day.,-0.13
I saw an average day.,0.2
Life is great.,0.73
What a wonderful.,0.86
Completely horrible.,-0.92
I saw an average day.,-0.08
What a frustrating.,-0.72
I'm having a amazing.,0.86
Life is perfect.,0.98
I had an average day.,-0.01
I feel great.,0.75
I'm having a joyful.,0.98
Such a disappointing.,-0.99
This is bad.,-0.79
There was a walk.,-0.06
Such a terrible.,-0.95
I'm having a joyful.,0.88
Completely awful.,-0.72
Life is perfect.,0.71
Everything is great.,0.72
I feel joyful.,0.76
It is the store.,-0.03
I saw lunch.,0.14
I'm having a fantastic.,0.76
I had lunch.,-0.11
I went to an average day.,-0.17
There was nothing new.,0.08
It is a normal day.,0.05
Today is fantastic.,0.99
What a joyful.,0.99
It is lunch.,0.07
